ID,Date,Primary offering,For_Sale
ID61200236,5/2/2014,438200,0
ID93053905,5/2/2014,3337600,0
ID72057649,5/2/2014,410400,0
ID53221538,5/2/2014,546000,1
ID99016894,5/2/2014,715000,1
ID41619257,5/2/2014,539000,1
ID26372954,5/2/2014,368500,1
ID46206512,5/2/2014,530200,1
ID43026282,5/2/2014,633500,0
ID18868078,5/2/2014,704000,0
ID84454937,5/2/2014,648200,0
ID54059311,5/2/2014,1820000,0
ID11990334,5/2/2014,765050,0
ID13853266,5/2/2014,438000,1
ID22741310,5/2/2014,1560000,0
ID27863583,5/2/2014,339500,1
ID48120962,5/2/2014,586600,1
ID81823014,5/2/2014,477750,1
ID79359186,5/2/2014,309540,0
ID60156509,5/2/2014,302500,1
ID43195012,5/2/2014,975000,0
ID39967426,5/2/2014,609000,0
ID23232851,5/2/2014,813800,1
ID86504554,5/2/2014,796250,0
ID32342234,5/2/2014,643500,1
ID81726277,5/2/2014,313500,1
ID78639948,5/2/2014,738000,1
ID27137733,5/2/2014,767800,1
ID93706023,5/2/2014,945000,1
ID82039809,5/2/2014,948000,0
ID82971543,5/2/2014,535500,1
ID36868966,5/2/2014,549945,1
ID17928654,5/2/2014,780000,1
ID94879562,5/2/2014,687500,1
ID60734667,5/2/2014,480000,1
ID81261517,5/2/2014,785200,1
ID98727196,5/2/2014,484000,1
ID17413743,5/2/2014,344640,1
ID88681697,5/2/2014,483600,0
ID95806265,5/2/2014,975000,0
ID84703201,5/2/2014,435500,0
ID72241827,5/2/2014,312000,0
ID65359121,5/2/2014,431900,0
ID32731922,5/2/2014,483945,1
ID82968799,5/2/2014,329000,1
ID70275545,5/2/2014,378000,1
ID73338899,5/2/2014,568750,1
ID86995162,5/2/2014,529750,1
ID87173684,5/2/2014,579410,1
ID22048583,5/2/2014,1089400,1
ID63928920,5/2/2014,882000,1
ID98983871,5/2/2014,715000,0
ID96082003,5/2/2014,885500,0
ID14504835,5/2/2014,312400,0
ID82254648,5/2/2014,517000,0
ID36515664,5/2/2014,473000,1
ID63975091,5/2/2014,638950,1
ID13645173,5/2/2014,1099000,1
ID95262368,5/2/2014,500500,0
ID32825058,5/2/2014,324500,0
ID60845421,5/2/2014,666000,0
ID40805239,5/2/2014,551988,0
ID56415031,5/2/2014,875000,1
ID40406560,5/2/2014,420000,0
ID78599153,5/3/2014,875000,0
ID71791867,5/3/2014,663600,1
ID18635019,5/3/2014,531832,1
ID82817243,5/3/2014,372000,0
ID39299039,5/4/2014,852500,1
ID83623315,5/4/2014,511000,0
ID41393732,5/4/2014,398340,1
ID97841214,5/4/2014,1096900,0
ID52856468,5/4/2014,816400,1
ID53198559,5/5/2014,616000,1
ID58756220,5/5/2014,990000,0
ID35779722,5/5/2014,743400,1
ID94520843,5/5/2014,914100,0
ID95863482,5/5/2014,1092000,0
ID62659693,5/5/2014,1057000,0
ID86054439,5/5/2014,846456,0
ID87016455,5/5/2014,752400,0
ID69546888,5/5/2014,1038000,0
ID99737982,5/5/2014,812000,0
ID83797828,5/5/2014,533000,1
ID28241458,5/5/2014,630500,0
ID91906796,5/5/2014,480000,0
ID20599755,5/5/2014,713700,0
ID75653300,5/5/2014,868000,1
ID73070512,5/5/2014,486000,1
ID63757618,5/5/2014,301600,1
ID27626444,5/5/2014,880952.6,0
ID80619217,5/5/2014,780000,1
ID16992119,5/5/2014,1152200,0
ID61941357,5/5/2014,847000,1
ID71076559,5/5/2014,733600,0
ID37444614,5/5/2014,649350,1
ID40063621,5/5/2014,871000,0
ID48761040,5/5/2014,461880,1
ID23566302,5/5/2014,446710,1
ID74820815,5/5/2014,1674000,0
ID41981274,5/5/2014,957450,1
ID63112195,5/5/2014,741000,0
ID89842044,5/5/2014,1023100,1
ID84412022,5/5/2014,426400,1
ID82939780,5/5/2014,522000,1
ID20528268,5/5/2014,698600,1
ID92168467,5/5/2014,651300,1
ID79629184,5/5/2014,1199000,0
ID80395132,5/5/2014,520000,1
ID95498406,5/5/2014,286000,0
ID81626862,5/5/2014,854230,1
ID74975377,5/5/2014,340945,0
ID98846508,5/5/2014,360000,1
ID19621189,5/5/2014,631065.6,0
ID22151285,5/5/2014,1036000,0
ID31777160,5/5/2014,408000,1
ID78317492,5/5/2014,518375,1
ID23425381,5/5/2014,226600,1
ID87225980,5/5/2014,1442000,0
ID36165311,5/5/2014,720000,1
ID27343795,5/5/2014,531930,1
ID28018919,5/5/2014,373100,1
ID98825636,5/5/2014,2736000,0
ID14279547,5/5/2014,371940,1
ID97964121,5/5/2014,780000,0
ID95119925,5/5/2014,543400,0
ID54400842,5/5/2014,494175,0
ID97845774,5/5/2014,362945,1
ID53462773,5/5/2014,294000,1
ID40478549,5/5/2014,603900,0
ID30494202,5/5/2014,880000,0
ID30510687,5/5/2014,274945,1
ID64427047,5/5/2014,273000,0
ID26216104,5/5/2014,1995000,1
ID70918349,5/5/2014,760500,0
ID91617345,5/5/2014,799500,1
ID75059429,5/5/2014,742200,0
ID42188005,5/5/2014,536343.5,0
ID53335259,5/5/2014,662870,1
ID79466744,5/5/2014,694787.5,0
ID89624031,5/5/2014,610500,0
ID35119568,5/5/2014,408000,1
ID30547003,5/5/2014,913000,0
ID70534169,5/5/2014,979000,1
ID98408684,5/5/2014,476775,1
ID96968851,5/5/2014,498000,0
ID11841246,5/5/2014,541171.8,1
ID44595475,5/5/2014,573600,0
ID33648561,5/5/2014,1157000,0
ID40738264,5/5/2014,586866,0
ID75330517,5/5/2014,925857.4,1
ID58267277,5/6/2014,476400,0
ID98484123,5/6/2014,540000,1
ID52786805,5/6/2014,388300,0
ID64382488,5/6/2014,669900,1
ID11076314,5/6/2014,327600,1
ID46215672,5/6/2014,729300,0
ID95587247,5/6/2014,609700,0
ID29959193,5/6/2014,362285,0
ID58847144,5/6/2014,536800,1
ID62868726,5/6/2014,335880,1
ID13827835,5/6/2014,848400,0
ID25966320,5/6/2014,374400,1
ID28933600,5/6/2014,845000,0
ID73398897,5/6/2014,1362000,1
ID19775474,5/6/2014,455000,0
ID26559407,5/6/2014,595000,0
ID30618286,5/6/2014,284700,0
ID60741885,5/6/2014,300000,1
ID50897595,5/6/2014,507000,1
ID52761993,5/6/2014,665000,1
ID71865744,5/6/2014,809600,1
ID27353683,5/6/2014,488400,0
ID93882365,5/6/2014,326400,1
ID40721478,5/6/2014,434400,1
ID90538694,5/6/2014,749000,1
ID20888024,5/6/2014,369200,0
ID74402055,5/6/2014,477750,1
ID85461612,5/6/2014,493870,1
ID64173144,5/6/2014,572000,1
ID89222548,5/6/2014,210000,1
ID11231936,5/6/2014,598000,1
ID42086282,5/6/2014,379500,1
ID67456938,5/6/2014,591500,0
ID95172141,5/6/2014,854000,1
ID96667111,5/6/2014,788200,0
ID81047460,5/6/2014,796250,1
ID50667673,5/6/2014,305200,1
ID97917329,5/6/2014,525200,0
ID62572351,5/6/2014,1204000,1
ID55310851,5/6/2014,150150,1
ID65499742,5/6/2014,439530,1
ID76427582,5/6/2014,690000,1
ID52854999,5/6/2014,1470000,1
ID25036004,5/6/2014,364000,0
ID66946550,5/6/2014,721000,1
ID59973818,5/6/2014,564300,0
ID88668648,5/6/2014,778700,0
ID79733360,5/6/2014,822000,0
ID31202848,5/6/2014,511000,1
ID52201361,5/6/2014,838530,1
ID82235320,5/6/2014,1738000,0
ID88768895,5/6/2014,674400,1
ID99913387,5/6/2014,742000,1
ID58174084,5/6/2014,577500,1
ID38816516,5/6/2014,580800,1
ID18557731,5/6/2014,942663.8,0
ID30517968,5/6/2014,396000,1
ID88302334,5/6/2014,503100,0
ID34068506,5/6/2014,531850,1
ID58821284,5/6/2014,786600,0
ID10929269,5/6/2014,414000,1
ID19131828,5/6/2014,692900,0
ID55784894,5/6/2014,462000,0
ID60878227,5/6/2014,742500,1
ID84328668,5/6/2014,256100,1
ID88597533,5/6/2014,630500,0
ID44859501,5/6/2014,2057000,0
ID68097750,5/6/2014,383500,0
ID36476623,5/6/2014,648700,1
ID92536049,5/6/2014,1155000,0
ID10195208,5/6/2014,210100,0
ID92364300,5/6/2014,600000,1
ID53607949,5/6/2014,507000,0
ID10002002,5/6/2014,1272700,0
ID96239515,5/6/2014,638000,1
ID90686173,5/6/2014,480935,1
ID73718733,5/6/2014,2520000,1
ID77248339,5/6/2014,853600,1
ID49845079,5/7/2014,571945,0
ID62926060,5/7/2014,280500,1
ID87850385,5/7/2014,544500,0
ID94107409,5/7/2014,663000,0
ID85233639,5/7/2014,1265000,0
ID95039846,5/7/2014,328900,1
ID30837697,5/7/2014,553300,0
ID41949164,5/7/2014,330000,1
ID61984290,5/7/2014,348600,1
ID22180623,5/7/2014,403000,0
ID12911603,5/7/2014,1050000,0
ID79394773,5/7/2014,882000,0
ID71172121,5/7/2014,839998.6,0
ID72558156,5/7/2014,1061200,0
ID34533630,5/7/2014,347900,0
ID80528364,5/7/2014,372000,1
ID19050849,5/7/2014,552000,1
ID86039681,5/7/2014,877500,1
ID16887920,5/7/2014,683800,0
ID70476605,5/7/2014,672000,1
ID26003148,5/7/2014,539500,0
ID81136126,5/7/2014,344400,0
ID29567946,5/7/2014,345950,1
ID44915255,5/7/2014,3840000,0
ID50874931,5/7/2014,462000,0
ID80238606,5/7/2014,695500,1
ID65168963,5/7/2014,490000,1
ID93313785,5/7/2014,721000,0
ID57264929,5/7/2014,1049930,0
ID15753147,5/7/2014,299000,0
ID37733502,5/7/2014,624800,1
ID30543617,5/7/2014,300000,0
ID98858541,5/7/2014,697200,1
ID69127395,5/7/2014,716100,1
ID88296059,5/7/2014,720000,1
ID67852482,5/7/2014,650000,0
ID25474880,5/7/2014,522500,0
ID10671208,5/7/2014,457600,1
ID26134464,5/7/2014,588000,0
ID72146866,5/7/2014,556400,1
ID20138695,5/7/2014,658900,1
ID30543755,5/7/2014,688800,1
ID38759248,5/7/2014,882000,1
ID62026427,5/7/2014,1260000,1
ID20193747,5/7/2014,1221000,1
ID60312938,5/7/2014,690000,0
ID67158643,5/7/2014,846000,1
ID50078765,5/7/2014,1128000,1
ID42241933,5/7/2014,344300,1
ID20088671,5/7/2014,865312,0
ID15365677,5/7/2014,832000,0
ID83569858,5/7/2014,679000,1
ID31522464,5/7/2014,390000,1
ID78389755,5/7/2014,455400,1
ID55025174,5/7/2014,441935,1
ID19854928,5/7/2014,1800000,0
ID51237971,5/7/2014,1474000,0
ID30624743,5/7/2014,550000,0
ID46312252,5/7/2014,311870,0
ID38586448,5/7/2014,377940,1
ID56289563,5/7/2014,433536,1
